name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BfDI,BfDI,2019-01-01,231,0,56,57,62,58,0,1
BRH,BRH,2019-01-01,4,0,2,0,0,2,0,0
BK,BK,2020-01-01,314,3,70,62,55,110,34,15
BK,BK,2020-01-01,19,0,0,0,15,4,0,0
BMAS,BMAS,2020-01-01,93,0,27,8,16,40,0,3
BMAS,BMAS,2020-01-01,1597,6,1372,36,67,74,17,32
AA,AA,2020-01-01,872,2,122,70,76,464,74,33
AA,AA,2020-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2020-01-01,541,5,213,33,99,195,11,23
BMI,BMI,2020-01-01,807,7,314,98,168,217,8,23
BMJV,BMJ,2020-01-01,215,4,58,32,27,95,16,10
BMJV,BMJ,2020-01-01,310,3,247,9,18,52,7,8
BMF,BMF,2020-01-01,277,1,20,23,113,115,5,4
BMF,BMF,2020-01-01,4109,6,3135,65,103,690,942,22
BMWi,BMWE,2020-01-01,253,0,71,22,47,99,18,7
BMWi,BMWE,2020-01-01,880,4,307,60,103,398,47,19
BMEL,BMLEH,2020-01-01,105,1,29,18,14,41,4,3
BMEL,BMLEH,2020-01-01,59,1,31,13,7,16,1,2
BMVg,BMVg,2020-01-01,263,0,120,20,22,90,0,2
BMVg,BMVg,2020-01-01,90,0,40,5,8,36,0,0
BMFSFJ,BMBFSFJ,2020-01-01,139,0,52,13,26,45,1,5
BMFSFJ,BMBFSFJ,2020-01-01,38,0,31,1,4,2,1,0
BMG,BMG,2020-01-01,489,1,117,16,31,192,11,11
BMG,BMG,2020-01-01,492,2,129,33,50,167,22,7
BMVI,BMV,2020-01-01,219,3,70,23,32,52,4,11
BMVI,BMV,2020-01-01,266,4,207,31,28,43,11,36
BMU,BMUKN,2020-01-01,38,0,30,1,2,7,0,0
BMU,BMUKN,2020-01-01,111,0,88,8,3,10,0,4
BMBF,BMFTR,2020-01-01,174,1,70,17,10,71,6,1
BMBF,BMFTR,2020-01-01,3,0,2,0,1,0,0,0
BKM,BKM,2020-01-01,34,0,14,6,3,11,4,2
BKM,BKM,2020-01-01,19,0,14,0,0,4,0,0
BMZ,BMZ,2020-01-01,120,0,50,4,4,57,4,1
